map_name,title,sub
Dungeon118,To Quomo Shrine,To Quomo's Blessing
Dungeon088,Hia Miu Shrine,A Major Test of Strength
Dungeon051,Maka Rah Shrine,Steady Thy Heart
Dungeon059,Kah Okeo Shrine,Wind Guide
Dungeon085,Kema Kosassa Shrine,A Major Test of Strength
Dungeon063,Kema Zoos Shrine,A Delayed Puzzle
Dungeon094,Tho Kayu Shrine,Tho Kayu's Blessing
Dungeon134,Takama Shiri Shrine,Dual Purpose
Dungeon003,Hawa Koth Shrine,The Current Solution
Dungeon087,Mozo Shenno Shrine,A Major Test of Strength
Dungeon046,Shada Naw Shrine,Red Giveaway
Dungeon127,Noe Rajee Shrine,The Four Winds
Dungeon053,Sha Warvo Shrine,Path of Hidden Winds
Dungeon012,Voo Lota Shrine,The Winding Route
Dungeon008,Bareeda Naag Shrine,Cannon
Dungeon035,Akh Va'quot Shrine,Windmills
Dungeon083,Tena Ko'sah Shrine,A Major Test of Strength
Dungeon100,Keeha Yoog Shrine,Keeha Yoog's Blessing
Dungeon076,Sasa Kai Shrine,A Modest Test of Strength
Dungeon036,Sho Dantu Shrine,Two Bombs
Dungeon121,Kihiro Moh Shrine,Inside the Box
Dungeon043,Kuh Takkar Shrine,Melting Ice Hazard
Dungeon060,Daqo Chisay Shrine,The Whole Picture
Dungeon032,Dako Tah Shrine,Electric Path
Dungeon093,Raqa Zunzo Shrine,Raqa Zunzo's Blessing
Dungeon128,Kiah Toza Shrine,Master the Orb
Dungeon018,Rok Uwog Shrine,Power of Reach
Dungeon052,Gee Ha'rah Shrine,Tandem
Dungeon086,Goma Asaagh Shrine,A Major Test of Strength
Dungeon104,Lanno Kooh Shrine,Lanno Kooh's Blessing
Dungeon129,Shira Gomar Shrine,Aim for Stillness
Dungeon055,Dunba Taag Shrine,Build and Release
Dungeon021,Toh Yahsa Shrine,Buried Secrets
Dungeon037,Shae Loya Shrine,Aim for the Moment
Dungeon058,Mogg Latan Shrine,Synced Swing
Dungeon078,Mijah Rokee Shrine,A Modest Test of Strength
Dungeon030,Joloo Nah Shrine,Joloo Nah Apparatus
Dungeon010,Kay Noh Shrine,Power of Electricity
Dungeon110,Korsh O'hu Shrine,Korsh O'hu's Blessing
Dungeon133,Keive Tala Shrine,Big or Small
Dungeon107,Misae Suma Shrine,Misae Suma's Blessing
Dungeon062,Sha Gehma Shrine,Shift and Lock
Dungeon115,Rona Kachta Shrine,Rona Kachta's Blessing
Dungeon042,Rin Oyaa Shrine,Directing the Wind
Dungeon011,Monya Toma Shrine,Drawing Parabolas
Dungeon092,Maag No'rah Shrine,Maag No'rah's Blessing
Dungeon004,Zalta Wa Shrine,Two Orbs to Guide You
Dungeon020,Sheem Dagoze Shrine,Moving in Parallel
Dungeon027,Rota Ooh Shrine,Passing of the Gates
Dungeon065,Keh Namut Shrine,Cryonis Trial
Dungeon072,Dah Kaso Shrine,A Minor Test of Strength
Dungeon122,Etsu Korima Shrine,Path of Light
Dungeon001,Jee Noh Shrine,On the Move
Dungeon103,Dila Maag Shrine,Dila Maag's Blessing
Dungeon090,Suma Sahma Shrine,Suma Sahma's Blessing
Dungeon116,Qaza Tokki Shrine,Qaza Tokki's Blessing
Dungeon098,Daag Chokah Shrine,Daag Chokah's Blessing
Dungeon073,Katah Chuki Shrine,A Minor Test of Strength
Dungeon074,Noya Neha Shrine,A Minor Test of Strength
Dungeon089,Saas Ko'sah Shrine,A Major Test of Strength
Dungeon040,Kaam Ya'tak Shrine,Trial of Power
Dungeon038,Oman Au Shrine,Magnesis Trial
Dungeon041,Ja Baij Shrine,Bomb Trial
Dungeon120,Yowaka Ita Shrine,Collected Soul
Dungeon123,Rohta Chigah Shrine,Stop to Start
Dungeon068,Ya Naga Shrine,Shatter the Heavens
Dungeon135,Ruvo Korbah Shrine,A Major Test of Strength+
Dungeon009,Owa Daim Shrine,Stasis Trial
Dungeon069,Ishto Soh Shrine,Bravery's Grasp
Dungeon108,Ketoh Wawai Shrine,Ketoh Wawai's Blessing
Dungeon022,Keo Ruug Shrine,Fateful Stars
Dungeon106,Maag Halan Shrine,Maag Halan's Blessing
Dungeon095,Kuhn Sidajj Shrine,Kuhn Sidajj's Blessing
Dungeon079,Namika Ozz Shrine,A Modest Test of Strength
Dungeon029,Hila Rao Shrine,Drifting
Dungeon049,Kaya Wan Shrine,Shields from Water
Dungeon007,Bosh Kala Shrine,The Wind Guides You
Dungeon057,Wahgo Katta Shrine,Metal Connections
Dungeon071,Pumaag Nitae Shrine,A Minor Test of Strength
Dungeon113,Shae Katha Shrine,Shae Katha's Blessing
Dungeon054,Ka'o Makagh Shrine,Metal Doors Open the Way
Dungeon080,Shoqa Tatone Shrine,A Modest Test of Strength
Dungeon028,Shora Hah Shrine,Blue Flame
Dungeon026,Shae Mo'sah Shrine,Swinging Flames
Dungeon067,Qua Raym Shrine,A Balanced Approach
Dungeon056,Mirro Shaz Shrine,Tempered Power
Dungeon023,Sheh Rata Shrine,Speed of Light
Dungeon033,Daka Tuss Shrine,Sunken Scoop
Dungeon099,Ta'loh Naeg Shrine,Ta'loh Naeg's Teaching
Dungeon045,Ha Dahamar Shrine,The Water Guides
Dungeon112,Lakna Rokee Shrine,Lakna Rokee's Blessing
Dungeon047,Ree Dahee Shrine,Timing Is Critical
Dungeon017,Shee Vaneer Shrine,Twin Memories
Dungeon044,Shee Venath Shrine,Twin Memories
Dungeon015,Toto Sah Shrine,Toto Sah Apparatus
Dungeon061,Shoda Sah Shrine,Impeccable Timing
Dungeon050,Shai Utoh Shrine,Halt the Tilt
Dungeon130,Kamia Omuna Shrine,Moving Targets
Dungeon091,Gorae Torr Shrine,Gorae Torr's Blessing
Dungeon064,Daqa Koh Shrine,Stalled Flight
Dungeon025,Kayra Mah Shrine,Greedy Hill
Dungeon132,Sharo Lun Shrine,Blind Spots
Dungeon131,Rinu Honika Shrine,Block the Blaze
Dungeon002,Sah Dahaj Shrine,Power of Fire
Dungeon031,Mo'a Keet Shrine,Metal Makes a Path
Dungeon070,Soh Kofi Shrine,A Minor Test of Strength
Dungeon000,Tah Muhl Shrine,Passing the Flame
Dungeon024,Mezza Lo Shrine,Ancient Trifecta
Dungeon019,Dow Na'eh Shrine,Three Boxes
Dungeon014,Kam Urog Shrine,Trial of Passage
Dungeon111,Tawa Jinn Shrine,Tawa Jinn's Blessing
Dungeon096,Qukah Nata Shrine,Qukah Nata's Blessing
Dungeon006,Yah Rin Shrine,A Weighty Decision
Dungeon102,Zuna Kai Shrine,Zuna Kai's Blessing
Dungeon084,Tutsuwa Nima Shrine,A Major Test of Strength
Dungeon075,Dah Hesho Shrine,A Minor Test of Strength
Dungeon048,Ze Kasho Shrine,Ze Kasho Apparatus
Dungeon124,Sato Koda Shrine,Support and Guidance
Dungeon101,Dagah Keek Shrine,Dagah Keek's Blessing
Dungeon126,Mah Eliya Shrine,Secret Stairway
Dungeon005,Ne'ez Yohma Shrine,Pushing Power
Dungeon016,Rucco Maag Shrine,Five Flames
Dungeon117,Jitan Sa'mi Shrine,Jitan Sa'mi's Blessing
Dungeon039,Myahm Agana Shrine,Myahm Agana Apparatus
Dungeon034,Kah Yah Shrine,Quick Thinking
Dungeon081,Muwo Jeem Shrine,A Modest Test of Strength
Dungeon105,Tu Ka'loh Shrine,Tu Ka'loh's Blessing
Dungeon013,Katosa Aug Shrine,Katosa Aug Apparatus
Dungeon109,Ritaag Zumo Shrine,Ritaag Zumo's Blessing
Dungeon066,Kah Mael Shrine,Drop and Rise
Dungeon077,Ke'nai Shakah Shrine,A Modest Test of Strength
Dungeon125,Kee Dafunia Shrine,The Melting Point
Dungeon114,Shai Yota Shrine,Shai Yota's Blessing
Dungeon119,Tahno O'ah Shrine,Tahno O'ah's Blessing
Dungeon082,Chaas Qeta Shrine,A Major Test of Strength
Dungeon097,Korgu Chideh Shrine,Korgu Chideh's Blessing
